area,ticker,interval,signal,candles_from_last
sp500,EXPE,1d,"['hammer', 'inverted_hammer', 'inverted_hammer', 'hammer', 'inverted_hammer']","[981, 455, 331, 69, 13]"
sp500,EXR,1d,['inverted_hammer'],[46]
sp500,F,1d,,
sp500,FANG,1d,,
sp500,FAST,1d,,
sp500,FCX,1d,"['piercing_line', 'hammer']","[287, 49]"
sp500,FDS,1d,,
sp500,FDX,1d,['inverted_hammer'],[287]
sp500,FE,1d,,
sp500,FFIV,1d,"['inverted_hammer', 'hammer', 'engulfing', 'piercing_line', 'inverted_hammer']","[501, 495, 310, 287, 146]"
sp500,FIS,1d,['hammer'],[43]
sp500,FISV,1d,"['hammer', 'engulfing', 'hammer', 'hammer', 'inverted_hammer']","[1072, 749, 307, 251, 139]"
sp500,FITB,1d,,
sp500,FIX,1d,"['inverted_hammer', 'hammer']","[1068, 288]"
sp500,FOX,1d,['engulfing'],[70]
sp500,FOXA,1d,['inverted_hammer'],[287]
sp500,FRT,1d,,
sp500,FSLR,1d,"['hammer', 'hammer', 'hammer', 'hammer', 'hammer']","[591, 581, 580, 479, 63]"
sp500,FTNT,1d,"['hammer', 'inverted_hammer', 'hammer', 'engulfing', 'hammer']","[937, 455, 308, 287, 203]"
sp500,FTV,1d,,
sp500,GD,1d,,
sp500,GDDY,1d,"['inverted_hammer', 'hammer', 'hammer', 'rebound', 'rebound']","[236, 219, 130, 71, 46]"
sp500,GE,1d,"['inverted_hammer', 'inverted_hammer', 'inverted_hammer', 'inverted_hammer']","[1129, 987, 927, 393]"
sp500,GEHC,1d,"['inverted_hammer', 'inverted_hammer', 'engulfing', 'inverted_hammer']","[648, 395, 285, 18]"
sp500,GEN,1d,['inverted_hammer'],[49]
sp500,GEV,1d,,
sp500,GILD,1d,"['inverted_hammer', 'inverted_hammer']","[287, 23]"
sp500,GIS,1d,,
sp500,GL,1d,"['hammer', 'inverted_hammer', 'hammer']","[366, 143, 142]"
sp500,GLW,1d,['inverted_hammer'],[307]
sp500,GM,1d,"['inverted_hammer', 'inverted_hammer', 'inverted_hammer']","[1079, 650, 331]"
sp500,GNRC,1d,"['hammer', 'hammer', 'hammer', 'hammer', 'hammer']","[704, 649, 456, 325, 288]"
sp500,GOOG,1d,"['inverted_hammer', 'inverted_hammer', 'inverted_hammer', 'piercing_line', 'hammer']","[993, 463, 289, 287, 75]"
sp500,GOOGL,1d,"['inverted_hammer', 'inverted_hammer', 'inverted_hammer, rebound', 'rebound', 'hammer']","[993, 463, 289, 288, 75]"
sp500,GPC,1d,['inverted_hammer'],[50]
sp500,GPN,1d,"['inverted_hammer', 'hammer']","[143, 142]"
sp500,GRMN,1d,['piercing_line'],[287]
sp500,GS,1d,['inverted_hammer'],[287]
sp500,HAL,1d,,
sp500,HAS,1d,['inverted_hammer'],[648]
sp500,HBAN,1d,,
sp500,HCA,1d,"['inverted_hammer', 'inverted_hammer', 'engulfing', 'hammer']","[1087, 389, 211, 46]"
sp500,HD,1d,"['hammer', 'hammer']","[57, 21]"
sp500,HIG,1d,,
sp500,HII,1d,"['inverted_hammer', 'inverted_hammer']","[287, 23]"
sp500,HLT,1d,"['hammer', 'inverted_hammer', 'hammer', 'inverted_hammer', 'inverted_hammer']","[1129, 755, 308, 289, 287]"
sp500,HOLX,1d,"['inverted_hammer', 'inverted_hammer', 'engulfing', 'hammer', 'inverted_hammer']","[324, 323, 322, 70, 44]"
sp500,HON,1d,,
sp500,HOOD,1d,"['inverted_hammer', 'engulfing', 'hammer', 'inverted_hammer', 'rebound']","[770, 769, 288, 90, 21]"
sp500,HPE,1d,"['inverted_hammer', 'rebound']","[433, 288]"
sp500,HPQ,1d,"['inverted_hammer', 'inverted_hammer', 'hammer']","[251, 91, 80]"
sp500,HRL,1d,['engulfing'],[32]
sp500,HSIC,1d,"['engulfing', 'inverted_hammer', 'hammer', 'hammer', 'inverted_hammer']","[640, 545, 490, 429, 208]"
sp500,HST,1d,,
sp500,HSY,1d,,
sp500,HUBB,1d,"['inverted_hammer', 'hammer']","[13, 12]"
sp500,HUM,1d,"['hammer', 'hammer', 'hammer', 'inverted_hammer', 'inverted_hammer']","[260, 180, 176, 81, 74]"
sp500,HWM,1d,"['inverted_hammer', 'piercing_line']","[1127, 287]"
sp500,IBKR,1d,"['hammer', 'hammer']","[1090, 128]"
sp500,IBM,1d,['hammer'],[25]
sp500,ICE,1d,"['inverted_hammer', 'inverted_hammer', 'hammer', 'inverted_hammer']","[392, 144, 73, 1]"
sp500,IEX,1d,"['hammer', 'inverted_hammer', 'inverted_hammer']","[57, 50, 49]"
sp500,IFF,1d,"['inverted_hammer', 'inverted_hammer', 'inverted_hammer', 'hammer']","[704, 569, 320, 49]"
sp500,INCY,1d,"['hammer', 'hammer', 'hammer', 'inverted_hammer', 'engulfing']","[676, 666, 661, 454, 299]"
sp500,INTC,1d,"['hammer', 'hammer', 'rebound', 'hammer']","[456, 455, 432, 207]"
sp500,INVH,1d,['inverted_hammer'],[208]
sp500,IP,1d,['inverted_hammer'],[287]
sp500,IQV,1d,"['hammer', 'hammer', 'hammer', 'hammer', 'hammer']","[596, 493, 492, 311, 292]"
sp500,IR,1d,"['inverted_hammer', 'inverted_hammer', 'hammer', 'piercing_line', 'engulfing']","[649, 392, 347, 345, 156]"
sp500,IRM,1d,,
sp500,ISRG,1d,"['inverted_hammer', 'hammer', 'hammer', 'hammer', 'hammer']","[468, 311, 79, 53, 37]"
sp500,IT,1d,"['inverted_hammer', 'hammer', 'hammer', 'inverted_hammer', 'engulfing']","[1094, 804, 778, 201, 77]"
sp500,ITW,1d,"['inverted_hammer', 'hammer']","[287, 7]"
sp500,IVZ,1d,,
sp500,J,1d,,
sp500,JBHT,1d,,
sp500,JBL,1d,"['hammer, engulfing', 'hammer', 'engulfing', 'hammer', 'hammer']","[308, 288, 287, 194, 186]"
sp500,JCI,1d,"['inverted_hammer', 'inverted_hammer', 'inverted_hammer', 'inverted_hammer', 'inverted_hammer']","[1020, 668, 308, 307, 97]"
sp500,JKHY,1d,"['inverted_hammer', 'inverted_hammer']","[889, 698]"
sp500,JNJ,1d,['inverted_hammer'],[23]
sp500,JPM,1d,"['piercing_line', 'inverted_hammer']","[287, 93]"
sp500,KDP,1d,,
sp500,KEY,1d,['hammer'],[58]
sp500,KEYS,1d,"['hammer', 'hammer', 'inverted_hammer', 'inverted_hammer', 'inverted_hammer']","[817, 780, 698, 552, 311]"
sp500,KHC,1d,['inverted_hammer'],[89]
sp500,KIM,1d,,
sp500,KKR,1d,"['engulfing', 'inverted_hammer', 'inverted_hammer', 'inverted_hammer', 'piercing_line']","[287, 169, 165, 82, 62]"
sp500,KMB,1d,['hammer'],[41]
sp500,KMI,1d,,
sp500,KO,1d,,
sp500,KR,1d,,
sp500,KVUE,1d,,
sp500,L,1d,"['inverted_hammer', 'inverted_hammer', 'hammer']","[994, 90, 87]"
sp500,LDOS,1d,"['inverted_hammer', 'hammer', 'hammer']","[1074, 16, 14]"
sp500,LEN,1d,"['inverted_hammer', 'inverted_hammer', 'inverted_hammer', 'hammer', 'hammer']","[366, 359, 173, 109, 49]"
sp500,LH,1d,['inverted_hammer'],[139]
sp500,LHX,1d,"['inverted_hammer', 'hammer']","[287, 25]"
sp500,LII,1d,"['inverted_hammer', 'inverted_hammer', 'hammer']","[288, 286, 53]"
sp500,LIN,1d,['inverted_hammer'],[393]
sp500,LMT,1d,"['inverted_hammer', 'hammer', 'hammer']","[297, 21, 16]"
sp500,LNT,1d,,
sp500,LOW,1d,"['inverted_hammer', 'hammer']","[131, 49]"
